,Star_name,Distance,Mass,Radius,,Star_name,Distance,Mass,Radius
0,Sun,0.000015813,1,1,2,LHS 102BC,,,
1,Sirius,8.6,2.1,1.71,14,2MASS J00034227-2822410,,,
2,Canopus,310,15,71,31,2MASS J02511327+0047364,,,
3,Alpha Centauri,4.4,1.1,1.2,117,TWA 27A,,,
4,Arcturus,37,1.1,26,118,TWA 27,,,
5,Vega,25,2.2,2.7,177,2MASS J14112131-2119503,,,
6,Capella,43,2.6,12,26,2MASS J02103857-3015313,101,15,1.53
7,Rigel,860,23,78.9,129,2MASS J13204427+0409045,101,67,1.01
8,Procyon,11.4,1.5,1.9,194,WISE 0038+8405,101.8,,
9,Betelgeuse,640,20,950,67,2MASS J06085283-2753583,102,38,1.51
10,Achernar,144,6.7,9.3,273,WISE 1147-2040,102,,
11,Hadar,390,10.5,8.6,140,CFBDSIR 1458+10A,104,11.1,1.5
12,Altair,17,1.8,1.8,141,CFBDSIR 1458+10B,104,9,1.3
13,Acrux,320,18,8.9,168,2MASS J20004841-7523070,105,25,1.88
14,Aldebaran,65,1.5,44,215,WISE 0316+4307,106.3,,
15,Antares,600,12,680,314,WISE 1830+4542,107,,
16,Spica,260,11.43,7.47,99,2MASSI J1017075+130839 [de],108,,
17,Pollux,34,1.9,8.8,171,2MASSW J2101154+175658,108,,
18,Fomalhaut,25,1.9,1.8,288,WISE 1506+7027,11.1,,
19,Deneb,"2,600",19,203,157,2MASS J16262034+3925190 [de],110,71,1.03
20,Mimosa,350,16,8.4,25,SDSS J020742.48+000056.2 [de],111,47,0.97
21,Regulus,77,3.8,3.1,350,WISEA 1101+5400,111,,
22,Adhara,430,12.5,14,174,HB 2124-4228,113,94,1.21
23,Shaula,700,14.5,8.8,161,2MASSI J1726000+153819,114,24,1.40
24,Castor,52,2.8,2.4,124,2MASSW J1239272+551537 [de],119,,
25,Gacrux,88,1.5,84,32,Teegarden's star,12.578,80,1.27
26,Bellatrix,240,8.6,5.8,351,2M1510,120,40 + 39 + ?,
27,Elnath,130,5,4.2,115,2MASS J11544223-3400390 [de],129,37,1.50
28,Miaplacidus,110,3.5,6.8,104,DEN 1048-3956,13.15,77,1.07
29,Alnilam,"2,000",32,42,75,UGPS J072227.51-054031.2,13.4,26,0.98
30,Gamma Velorum,"1,100",9,6,20,2MASS J01415823-4633574 [de],130,20,1.61
31,Alnair,101,4,3.4,48,DENIS-P J035726.9-441730 [de],130,,
32,Alioth,81,2.9,4.2,8,2MASS J00332386-1521309 [de],131,29,1.43
33,Alnitak,1050,33,20,315,WISE 1841+7000,131.1,,
34,Dubhe,120,4.25,30,113,TWA 26,137,30,2.20
35,Mirfak,590,8.5,68,166,2MASSW J1841086+311727,138,67,1.01
36,Wezen,"1,600",17,200,53,2MASS J04362788-4114465,142,39,1.97
37,Sargas,270,5.7,26,198,WISE 0106+1518,142.9,,
38,Kaus Australis,140,3.5,6.8,4,2MASS J00250365+4759191AB,143,,
39,Avior,630,9,130,185,2MASS J23225299-6151275,148,17,1.59
40,Alkaid,104,6.1,3.4,134,SDSS J141659.78+500626.4 [de],149,59,0.99
41,Menkalinan,81,2.39,2.77,28,2MASS J02411151-0326587 [de],152,27,1.41
42,Atria,390,7,92,179,2MASSW J2208136+292121,154,27,1.41
43,Alhena,109,2.8,3.3,27,2MASS J02340093-6442068,155,20,1.62
44,Peacock,180,5.9,4.8,82,DENIS J081730.0-615520,16.1,44,0.94
45,Alsephina[2],80,2.4,2.9,35,DEN 0255-4700,16.2,80,0.97
46,Mirzam,500,13.5,10,299,WISE 1639-6847,16.3,,
47,Polaris,430,5.4,39,19,2MASSI J0117474-340325 [de],163,20,1.62
48,Alphard,180,3,50,109,Cha 110913-773444,163,8,1.8
49,Scheat,196,2.1,95,95,2MASS 0939−2448,17.4,32,0.95
50,Almaaz,653,15,140,223,WISE 0350-5658,17.7,,
51,Rasalgethi,360,2.8,280,112,2MASS J11145133−2618235,18.2,33,0.96
52,Tau Ceti,11.9,0.783,0.893,165,LSR J1835+3259,18.5,77,1.07
53,Delta Pavonis,19.92,0.991,1.22,49,2MASS J04151954−0935066,18.6,30,0.95
54,Ran,10.48,0.82,0.74,307,WISE 1741+2553,18.9,,
